"company_name","total_loss_usd","loss_status"
"AuraCure Genomics Co.","21895179.94","High"
"Verdant Compass Systems Inc.","44011747.39","High"
"Nakamura Retail Co.","94692272.84","High"
"AchieveWisdom Schools Technologies Ltd.","15809467.71","Medium"
"Flint Azure Energy SAS","10006111.98","Medium"
"Lynx Wolverine Solutions Co.","292343951.97","Critical"
"Azure Eclipse Sciences Inc.","3130741.18","Low"
"CureGene MedTech S.p.A.","37087846.91","High"
"Zenith Reserve Holdings Holdings PLC","53175379.01","High"
"Peregrine Thera Sciences Inc.","3322605.54","Low"
"Sullivan Investments Ltd.","44759368.46","High"
"Epoch Radiant Exploration Holdings PLC","116398036.60","Critical"
"Crawford Analytics Holdings Inc.","57389498.20","High"
"Sapphire Pinnacle Biotech Holdings Inc.","400722.73","Low"
"Irving Analytics Inc.","202409764.83","Critical"
"StreamAlgo Computing Corp.","58785173.31","High"
"Sullivan Services Ltd.","739518258.79","Critical"
"Sierra Node Ventures SA","86846954.33","High"
"Delta Net Platforms Inc.","21281690.47","High"
"Bravo Choice Group Ltd.","5221555.14","Medium"
"Sable Grid Electric Co.","4357431.16","Low"
"CloudWave Robotics GmbH","46006850.87","High"
"Arrow Value Trading Corp.","12733945.02","Medium"
"Fernandez Institute Holdings Inc.","26972191.79","High"
"Nashville Securities Co.","1083150.87","Low"
"Indigo Jasper Investments Holdings Co. Ltd.","12381773.61","Medium"
"Johansson Group GmbH","7556838.74","Medium"
"Orlando Systems Holdings Inc.","64598310.82","High"
"Ridge Granite Pharmaceuticals Group N.V.","7379940.94","Medium"
"Eriksson Corp Inc.","30750781.09","High"
"Herzliya Ventures Ltd.","138167043.88","Critical"
"Tempest Helix Systems Co.","15106259.80","Medium"
"Mantis Mart Retail Corp.","140591997.07","Critical"
"Fitzgerald Assurance SA","13399212.18","Medium"
"Sheffield Partners Holdings PLC","123218837.45","Critical"
"DrillOre Exploration Corp.","35822508.73","High"
"Turner Stores Group PLC","109224470.21","Critical"
"VitalRemedy Pharmaceuticals Corp.","7385278.09","Medium"
"Marshall Group Corp.","6694793.22","Medium"
"Marshall Medical Holdings PLC","630680.20","Low"
"Diamond Mantis Bank Holdings Inc.","7758437.22","Medium"
"MatrixPress Components Group Inc.","15340919.55","Medium"
"ChargeSpark Corp Holdings Ltd.","3346993.79","Low"
"Osprey Subsurface Mining Pvt. Ltd.","4728251.31","Low"
"StructureConcrete Group Corp.","459001.24","Low"
"Redwood Citadel Agency Co.","39441011.72","High"
"MedNeuro Genomics Holdings Ltd.","10825406.29","Medium"
"Bravo Zephyr Engineering Holdings PLC","154866061.89","Critical"
"RemedyOncus Diagnostics Group Inc.","3465654.62","Low"
"Tanaka Microsystems Group Inc.","4197707.13","Low"
"ClinicalCardio Diagnostics SE","4357554.78","Low"
"Graham Platforms AG","140552441.73","Critical"
"Hawk Crown Genomics Corp.","21928719.96","High"
"Harbor Skill Institute Group Inc.","32311507.00","High"
"HelixLink Ventures Ltd.","51260421.61","High"
"Talon Arc Computing AG","22257253.16","High"
"Titan Matrix Works Holdings Inc.","2706420.31","Low"
"Yamamoto Financial Corp.","3843747.58","Low"
"Raleigh Biotech Co.","30063570.05","High"
"Crawford Sciences Holdings Inc.","41491461.06","High"
"Whitfield Diagnostics S.r.l.","382953.07","Low"
"DigitalSoft Ventures Co.","902855207.46","Critical"
"Granite Screen Studios Group PLC","4734146.41","Low"
"MarketFresh Stores Corp.","57078089.82","High"
"Quantum Bravo Schools Technologies Ltd.","56615536.19","High"
"Granite Hawk Labs Group Inc.","56307758.84","High"
"Brennan Software N.V.","4425406.70","Low"
"Eclipse Wolverine Administration Corp.","11576419.52","Medium"
"Gutierrez Assurance Ltda.","7485452.00","Medium"
"Aldridge Department Inc.","33561853.92","High"
"Edmonton BioSciences Inc.","49943019.96","High"
"Onyx Quantum Administration Corp.","26901903.94","High"
"Munich Office AG","7092188.03","Medium"
"MartQuick Commerce AG","13144900.06","Medium"
"GuestWelcome Hotels Corp.","5544412.15","Medium"
"Indigo Retreat Resorts Inc.","14865835.59","Medium"
"Ridge Cargo Shipping Inc.","9719689.46","Medium"
"Quinn Group Co.","11220257.29","Medium"
"Titan Ironwood Platforms Group Inc.","6160443.81","Medium"
"CarbonTool Materials Co.","87800574.76","High"
"Winnipeg Sciences Holdings Inc.","13274222.40","Medium"
"Detroit MedTech Holdings Inc.","1979035.98","Low"
"Flint Sierra Production Holdings PLC","1850228.85","Low"
"BeloHorizonte Advisory Ltda.","6529740.43","Medium"
"Patriot Compass Diagnostics Group Inc.","47376293.56","High"
"Peregrine Inn Restaurants Holdings PLC","11394879.16","Medium"
"Eagle Wolverine Institute Corp.","10593257.19","Medium"
"Harbor Prime Group Group PLC","36447597.59","High"
"LearnMentor Education Group N.V.","7323066.83","Medium"
"Cedar Cobalt Advisory Inc.","33353265.06","High"
"Detroit Authority Corp.","17897149.15","Medium"
"Cypress Aero Shipping Ltd.","8042270.45","Medium"
"Edinburgh Innovations Group PLC","86718676.24","High"
"Cypress Forge Consulting Co.","43719678.48","High"
"Takahashi BioSciences Co.","31973068.81","High"
"DealGoods Markets Inc.","13781694.84","Medium"
"Spectrum Citadel Group Group Inc.","94751644.84","High"
"Patriot Compass Diagnostics Group Inc.","22050977.84","High"
"Trident Wave Robotics Co.","84913571.12","High"
"Bristol Software Holdings PLC","23620609.43","High"
"FabriAlloy Industrial Corp.","255360.01","Low"
"DraftConstruct Corp Group Inc.","55516418.52","High"
"Crimson Genome Diagnostics Inc.","285803107.07","Critical"
"Eagle Neuro Diagnostics Corp.","37914466.01","High"
"Apex Aspire Learning Holdings PLC","157451926.15","Critical"
"SignalProto Labs Holdings Co. Ltd.","782911.10","Low"
"GuarantyBond Group Group Inc.","83485011.28","High"
"Belfast Fabrication Group PLC","1574754909.63","Critical"
"Frankfurt Holdings GmbH","15103657.30","Medium"
"Haifa Therapeutics Ltd.","32413937.28","High"
"Raptor Mold Systems Inc.","21981396.73","High"
"Zimmer Shipping SE","19885256.53","Medium"
"Lambert Bank Ltd.","22854732.32","High"
"NationalBorough Office Holdings Inc.","8035828.77","Medium"
"Element Sentinel Healthcare Holdings PLC","4681317.81","Low"
"Lindgren Petroleum Inc.","9575639.80","Medium"
"Quantum Timber Financial Holdings Inc.","18262796.52","Medium"
"Cedar Petro Petroleum Inc.","34625411.17","High"
"StructDynamic Defense Corp.","25814745.97","High"
"Calgary Innovations Holdings Inc.","46730137.49","High"
"Cedar Meridian Insurance GmbH","49413924.29","High"
"Delta Site Development AG","2700286.13","Low"
"Baltimore Electric Group Inc.","18613312.39","Medium"
"StateCounty Administration Group SA","3711297.25","Low"
"Vista Dynamo Outlets SA","107598779.07","Critical"
"Aldridge Diagnostics Group PLC","1650377.82","Low"
"Curitiba Development S.A.","4549375.38","Low"
"Citadel Capital Securities Ltd.","7033417.20","Medium"
"Epoch Maple Production Co.","13950225.32","Medium"
"Flint Paragon Holdings Ltd.","55586095.53","High"
"WingPort Rail Holdings Inc.","161412130.79","Critical"
"Detroit Resources Co.","1117336.55","Low"
"Fukuoka Services Co. Ltd.","19355979.35","Medium"
"Flynn Communications Inc.","10274790.40","Medium"
"Pacific Value Retail Co.","99410739.50","High"
"Cobalt Transit Logistics Holdings Inc.","25208061.97","High"
"PathOncus Medical Co. Ltd.","2583392.34","Low"
"DrillWell Energy Ltda.","14300872.28","Medium"
"Zenith Solar Utilities Holdings Ltd.","8135885.41","Medium"
"Canberra Sciences Pty Ltd.","5485861.85","Medium"
"Pittsburgh Products Corp.","4496987.51","Low"
"Osprey Vista Engineering Holdings PLC","16543845.62","Medium"
"Tempest Epoch Microsystems GmbH","38632807.40","High"
"Charlotte Academy Holdings Inc.","5405668.95","Medium"
"Talon Azure Services Corp.","57984316.45","High"
"Ember Carbon Fabrication Ltd.","36522557.03","High"
"SaoPaulo Bank S.A.","89701048.32","High"
"Chandra Academy Group Inc.","1873084.22","Low"
"Meridian Mold Production Group Inc.","18553269.35","Medium"
"Fitzgerald Corp Group PLC","13328962.14","Medium"
"Mantis Oncus Sciences Corp.","1072376.52","Low"
"RiskCredit Partners Corp.","23487242.53","High"
"Titan Shop Trading Corp.","5602581.07","Medium"
"Fitzgerald Sciences Holdings PLC","979103.82","Low"
"Palmer Solutions Co.","12845975.46","Medium"
"Nashville Securities Co.","2487396.47","Low"
"Solaris Tempest Securities AG","38892329.09","High"
"Bravo Spark Energy Holdings Inc.","4603235.52","Low"
"Zephyr Aura Diagnostics GmbH","5816592.88","Medium"
"Weber University Corp.","47526413.03","High"
"Nexus Horizon Systems Pty Ltd.","77723657.60","High"
"ArcTech Labs AG","3921524.08","Low"
"Brasilia Robotics S.A.","309425.09","Low"
"Baltic Trident Pharmaceuticals Ltda.","16640381.00","Medium"
"Zimmer Partners Co.","40560931.60","High"
"Sequoia Lynx Corp PLC","41963468.38","High"
"Baltimore Schools Group Inc.","712021.63","Low"
"Lynx Precision Systems Corp.","29137877.69","High"
"Vertex Depth Resources SE","73900680.96","High"
"Archer Lynx Group S.A.","1996427.86","Low"
"Crawford Hospitality S.p.A.","16530761.44","Medium"
"Baltimore Distribution Holdings Inc.","78701426.24","High"
"Lynx Everest Medical SE","1532308.05","Low"
"Hawk Beacon Sciences PLC","41984310.21","High"
"Campbell Sciences GmbH","4465555.19","Low"
"YieldRisk Partners Co. Ltd.","10034801.73","Medium"
"Thompson Services Co. Ltd.","67229021.09","High"
"Phoenix Communications Corp.","12717196.30","Medium"
"Glasgow Association Group PLC","628199540.31","Critical"
"Singapore Sciences Pte. Ltd.","16823447.78","Medium"
"Canberra Engineering Ltd.","189522816.72","Critical"
"Silver Flint Freight Corp.","1101133527.36","Critical"
"ValueValue Stores Co.","10515207.00","Medium"
"Eclipse Source Distribution Corp.","92602780.69","High"
"Paladin Lynx Therapeutics Ltd.","22104786.99","High"
"Redwood Ore Petroleum SA","433328103.83","Critical"
"Vista Dynamic Production Ltd.","9194486.91","Medium"
"AeroAero Products Corp.","3524838.91","Low"
"Dresden Group AG","6260466.37","Medium"
"CellaMed Biotech AG","5131601.90","Medium"
"Osaka Services Corp.","63698647.54","High"
"InfracoreCharge Electric S.r.l.","5530794.38","Medium"
"Henderson Corp Holdings Inc.","16326150.26","Medium"
"Zenith Equity Investments SA","14676115.17","Medium"
"Palmer Retail S.p.A.","40423078.69","High"
"Zenith Equity Investments SA","3716421.77","Low"
"Perth Media Pty Ltd.","14611756.92","Medium"
"Orlando Supply Holdings Inc.","1948821.14","Low"
"Edmonton BioSciences Inc.","44074232.20","High"
"Sapphire Yield Capital Holdings Inc.","37050974.04","High"
"Crawford Services Inc.","5267960.92","Medium"
"BazaarGoods Distribution Co.","260168941.27","Critical"
"Chen Staffing Group Inc.","21992851.37","High"
"Gutierrez Components Ltd.","8386202.46","Medium"
"Phoenix Capital Corp.","5792320.55","Medium"
"Crest Vertex Construction AG","12916386.63","Medium"
"Winnipeg Office Holdings Inc.","24511300.19","High"
"Guardian Orbit Bancorp Pvt. Ltd.","3452827.71","Low"
"TeamSupport Services Group Ltd.","110562338.20","Critical"
"Brasilia Labs Ltda.","9765158.35","Medium"
"Vancouver Bancorp Corp.","36362869.45","High"
"Everest Summit Networks Holdings Inc.","28802127.04","High"
"Gutierrez Ventures Holdings Inc.","1719611.14","Low"
"Obsidian Forge Defense Ltd.","7791320.92","Medium"
"Victoria Advisory Corp.","27045009.96","High"
"Nashville Resources Group Inc.","57701472.70","High"
"TaskAssist Resources Corp.","5129185.67","Medium"
"MatrixPress Components Group Inc.","344453944.17","Critical"
"Titan Shop Trading Corp.","5168160.64","Medium"
"Arrow Federal Office Holdings Co. Ltd.","1903978.16","Low"
"Victoria Group Corp.","12558379.60","Medium"
"GoodsLuxe Distribution Group Inc.","8911780.97","Medium"
"Raptor Ridge Analytics SA","234615401.15","Critical"
"Ember Signal Microsystems S.r.l.","13497135.46","Medium"
"Henderson Holdings SA","2652365.26","Low"
"VoltSpark Energy GmbH","10689863.60","Medium"
"Obsidian Hawk Consulting Ltd.","12510000.47","Medium"
"PrecisionComponent Industrial Co.","10743667.11","Medium"
"LinkSignal Labs Group Ltd.","12348868.75","Medium"
"Zimmer Production Group Inc.","11330023.03","Medium"
"AnalyticAcumen Associates Inc.","1570004.58","Low"
"Nice Department Group SA","442315893.30","Critical"
"Ember Mantis Solutions SA","22122510.43","High"
"Vertex Current Energy Pvt. Ltd.","13606559.01","Medium"
"Granite Paragon Services Holdings Inc.","65396496.55","High"
"Jasper Arc Software GmbH","575963.76","Low"
"Lyon Carriers SAS","18224653.17","Medium"
"Nakamura Retail Co.","14234493.82","Medium"
"Davidson Financial Co. Ltd.","129382239.12","Critical"
"CreativeLive Entertainment Co.","22202510.52","High"
"Borealis Stream Robotics Holdings Inc.","43608217.82","High"
"Atlanta Stores Group Inc.","41817754.33","High"
"Edmonton Markets Holdings Inc.","27133119.36","High"
"Indigo Spark Energy PLC","11729779.57","Medium"
"Citadel Care Labs Group Inc.","347784138.44","Critical"
"Blackwell Intelligence Group PLC","6610099.60","Medium"
"Eriksson Group Inc.","100276150.43","Critical"
"Vista Dynamo Outlets SA","1029594.89","Low"
"Lambert Studios Inc.","26564193.11","High"
"Irving MedTech PLC","203939033.17","Critical"
